地名,センター,可燃ごみ,不燃ごみ,プラスチック・ビニール類,びん・缶・ペットボトル 有害ごみ,古布・紙類
東町1・3・6・7丁目,入間市総合クリーンセンター1,月 水 金,木,火,土2 土4,土1 土3
東町2・4・5丁目,入間市総合クリーンセンター1,月 水 金,土,木,火1 火3,火2 火4
新久,入間市総合クリーンセンター1,月 水 金,火,土,木1 木3,木2 木4
上小谷田1～3丁目,入間市総合クリーンセンター1,月 水 金,火,土,木2 木4,木1 木3
牛沢町,入間市総合クリーンセンター1,月 水 金,火,土,木1 木3,木2 木4
扇台1・2丁目,入間市総合クリーンセンター1,月 水 金,木,火,土2 土4,土1 土3
扇台3～6丁目,入間市総合クリーンセンター1,月 水 金,土,木,火1 火3,火2 火4
扇町屋1～5丁目,入間市総合クリーンセンター1,月 水 金,土,木,火2 火4,火1 火3
大字扇町屋1217・1219番地,入間市総合クリーンセンター1,月 水 金,土,木,火1 火3,火2 火4
大字小谷田,入間市総合クリーンセンター1,月 水 金,火,土,木2 木4,木1 木3
鍵山1～3丁目,入間市総合クリーンセンター1,月 水 金,木,火,土1 土3,土2 土4
春日町1・2丁目,入間市総合クリーンセンター1,月 水 金,木,火,土1 土3,土2 土4
金子中央,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
上藤沢(グリーンヒル除く),入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
上谷ケ貫,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
河原町1・2番,入間市総合クリーンセンター1,月 水 金,土,木,火2 火4,火1 火3
河原町3～17番,入間市総合クリーンセンター1,月 水 金,木,火,土1 土3,土2 土4
久保稲荷1・2丁目,入間市総合クリーンセンター1,月 水 金,木,火,土2 土4,土1 土3
久保稲荷3～5丁目,入間市総合クリーンセンター1,月 水 金,土,木,火1 火3,火2 火4
グリーンヒル団地,入間市総合クリーンセンター2,火 木 土,金,水,月1 月3,月2 月4
黒須1・2丁目,入間市総合クリーンセンター1,月 水 金,木,火,土1 土3,土2 土4
向陽台1・2丁目,入間市総合クリーンセンター1,月 水 金,土,木,火2 火4,火1 火3
駒形富士山,入間市総合クリーンセンター2,火 木 土,水,月,金1 金3,金2 金4
小谷田1～4丁目,入間市総合クリーンセンター1,月 水 金,火,土,木2 木4,木1 木3
狭山ヶ原,入間市総合クリーンセンター1,月 水 金,火,土,木1 木3,木2 木4
狭山台,入間市総合クリーンセンター2,火 木 土,水,月,金1 金3,金2 金4
下藤沢173～184、1263～1319番地、エバープレイスガーデン地区,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
下藤沢(173～184、1263～1319番地、エバープレイスガーデン地区除く),入間市総合クリーンセンター2,火 木 土,月,金,水1 水3,水2 水4
下谷ケ貫,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
新光,入間市総合クリーンセンター2,火 木 土,金,水,月1 月3,月2 月4
善蔵新田・大字黒須,入間市総合クリーンセンター1,月 水 金,土,木,火1 火3,火2 火4
高倉1～5丁目,入間市総合クリーンセンター1,月 水 金,火,土,木1 木3,木2 木4
高根,入間市総合クリーンセンター2,火 木 土,水,月,金1 金3,金2 金4
寺竹,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
豊岡1～3・5丁目,入間市総合クリーンセンター1,月 水 金,土,木,火2 火4,火1 火3
豊岡4丁目,入間市総合クリーンセンター1,月 水 金,木,火,土2 土4,土1 土3
中神,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
西三ツ木,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
二本木,入間市総合クリーンセンター2,火 木 土,水,月,金1 金3,金2 金4
根岸,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
野田,入間市総合クリーンセンター2,火 木 土,金,水,月1 月3,月2 月4
花ノ木,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
東藤沢1・2丁目,入間市総合クリーンセンター2,火 木 土,月,金,水1 水3,水2 水4
東藤沢3～8丁目,入間市総合クリーンセンター2,火 木 土,月,金,水2 水4,水1 水3
仏子,入間市総合クリーンセンター2,火 木 土,金,水,月2 月4,月1 月3
三ツ木台,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
南峯,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
宮寺,入間市総合クリーンセンター2,火 木 土,水,月,金1 金3,金2 金4
宮前町,入間市総合クリーンセンター1,月 水 金,木,火,土1 土3,土2 土4
向原団地,入間市総合クリーンセンター1,月 水 金,木,火,土2 土4,土1 土3
木蓮寺,入間市総合クリーンセンター2,火 木 土,水,月,金2 金4,金1 金3
森坂,入間市総合クリーンセンター1,月 水 金,火,土,木1 木3,木2 木4
